XCoord,YCoord,OBJECTID,UNIQUEID,TIME
20.44741245,31.08674491,1,Honey Badger ,2017-08-30 16:48:32.862001
20.44699608,31.08501180,2,Honey Badger ,2017-08-30 16:53:32.909000
20.44656784,31.08328077,3,Honey Badger ,2017-08-30 16:53:32.940000
19.99603737,32.13712621,4,Honey Badger ,2017-08-30 16:53:32.971000
20.19621536,32.01074696,5,Honey Badger ,2017-08-30 16:53:32.987000
20.19811532,32.01143531,6,Honey Badger ,2017-08-30 16:53:33.003001
20.20000838,32.01213719,7,Honey Badger ,2017-08-30 16:53:33.018000
20.20189427,32.01285281,8,Honey Badger ,2017-08-30 16:53:33.034001
20.20377269,32.01358242,9,Honey Badger ,2017-08-30 16:53:33.065000
20.20564332,32.01432626,10,Honey Badger ,2017-08-30 16:53:33.081001
20.20750582,32.01508462,11,Honey Badger ,2017-08-30 16:53:33.096000
20.20935984,32.01585779,12,Honey Badger ,2017-08-30 16:53:33.112001
20.08146869,32.29808764,13,Honey Badger ,2017-08-30 16:53:33.128001
20.08352994,32.29820754,14,Honey Badger ,2017-08-30 16:53:33.143000
20.08559164,32.29832172,15,Honey Badger ,2017-08-30 16:53:33.174001
20.08765373,32.29843086,16,Honey Badger ,2017-08-30 16:53:33.190000
20.07323061,32.29753066,17,Honey Badger ,2017-08-30 16:53:33.206001
20.07528899,32.29768177,18,Honey Badger ,2017-08-30 16:53:33.221000
20.19239575,32.00941008,19,Honey Badger ,2017-08-30 16:53:33.237001
20.19430875,32.01007195,20,Honey Badger ,2017-08-30 16:53:33.253001
20.01054364,31.85864982,21,Honey Badger ,2017-08-30 16:53:33.284001
20.01029598,31.86039202,22,Honey Badger ,2017-08-30 16:53:33.299001
20.01005187,31.86213455,23,Honey Badger ,2017-08-30 16:53:33.315001
20.00981115,31.86387739,24,Honey Badger ,2017-08-30 16:53:33.331001
20.01157252,31.85168471,25,Honey Badger ,2017-08-30 16:53:33.346000
20.01130927,31.85342539,26,Honey Badger ,2017-08-30 16:53:33.362001
20.01105013,31.85516648,27,Honey Badger ,2017-08-30 16:53:33.378000
20.01079497,31.85690797,28,Honey Badger ,2017-08-30 16:53:33.393000
20.00957367,31.86562051,29,Honey Badger ,2017-08-30 16:53:33.424001
20.00933930,31.86736390,30,Honey Badger ,2017-08-30 16:53:33.440001
19.91675858,31.86147657,31,Honey Badger ,2017-08-30 16:53:33.456001
19.99466727,32.13581667,32,Honey Badger ,2017-08-30 16:53:33.471000
19.92087649,31.86176871,33,Honey Badger ,2017-08-30 16:53:33.487001
19.91881759,31.86162203,34,Honey Badger ,2017-08-30 16:53:33.503000
19.92499389,31.86206595,35,Honey Badger ,2017-08-30 16:53:33.518000
19.92293525,31.86191667,36,Honey Badger ,2017-08-30 16:53:33.549001
19.92911074,31.86236868,37,Honey Badger ,2017-08-30 16:53:33.565001
19.92705239,31.86221660,38,Honey Badger ,2017-08-30 16:53:33.581000
19.99199042,32.13315107,39,Honey Badger ,2017-08-30 16:53:33.596000
19.91264021,31.86118913,40,Honey Badger ,2017-08-30 16:53:33.612001
19.91058087,31.86104706,41,Honey Badger ,2017-08-30 16:53:33.628001
19.90244381,32.13481726,42,Honey Badger ,2017-08-30 16:53:33.643001
20.10325522,32.19770549,43,Honey Badger ,2017-08-30 16:53:33.659001
19.91570979,32.10303276,44,Honey Badger ,2017-08-30 16:53:33.674001
20.00025975,32.14096824,45,Honey Badger ,2017-08-30 16:53:33.690001
19.91679926,32.10154564,46,Honey Badger ,2017-08-30 16:53:33.721000
20.00170098,32.14222177,47,Honey Badger ,2017-08-30 16:53:33.737001
19.96161622,30.63718514,48,Honey Badger ,2017-08-30 16:53:33.753001
19.96365657,30.63690521,49,Honey Badger ,2017-08-30 16:53:33.768001
19.96569776,30.63662986,50,Honey Badger ,2017-08-30 16:53:33.784000
19.96773978,30.63635910,51,Honey Badger ,2017-08-30 16:53:33.800000
19.95346344,30.63835021,52,Honey Badger ,2017-08-30 16:53:33.815001
19.95550032,30.63805218,53,Honey Badger ,2017-08-30 16:53:33.831000
19.95753809,30.63775864,54,Honey Badger ,2017-08-30 16:53:33.846000
19.95957672,30.63746962,55,Honey Badger ,2017-08-30 16:53:33.862000
19.99883473,32.13970147,56,Honey Badger ,2017-08-30 16:53:33.878001
19.96978262,30.63609296,57,Honey Badger ,2017-08-30 16:53:33.909000
19.97182627,30.63583146,58,Honey Badger ,2017-08-30 16:53:33.925000
19.92131972,32.09568511,59,Honey Badger ,2017-08-30 16:53:33.940001
19.92248906,32.09424206,60,Honey Badger ,2017-08-30 16:53:33.956001
19.54695244,31.80510477,61,Honey Badger ,2017-08-30 16:53:33.971000
19.92367356,32.09280789,62,Honey Badger ,2017-08-30 16:53:33.987000
19.92487299,32.09138264,63,Honey Badger ,2017-08-30 16:53:34.003000
19.92608712,32.08996632,64,Honey Badger ,2017-08-30 16:53:34.018000
18.70753956,31.55519237,65,Honey Badger ,2017-08-30 16:53:34.034000
18.70959844,31.55504511,66,Honey Badger ,2017-08-30 16:53:34.065000
18.71989665,31.55434851,67,Honey Badger ,2017-08-30 16:53:34.081000
18.72195700,31.55421693,68,Honey Badger ,2017-08-30 16:53:34.096000
18.72401756,31.55408785,69,Honey Badger ,2017-08-30 16:53:34.112000
18.72607834,31.55396127,70,Honey Badger ,2017-08-30 16:53:34.128000
18.71165759,31.55490054,71,Honey Badger ,2017-08-30 16:53:34.143000
18.71371699,31.55475862,72,Honey Badger ,2017-08-30 16:53:34.159000
18.71577664,31.55461933,73,Honey Badger ,2017-08-30 16:53:34.175000
18.71783653,31.55448263,74,Honey Badger ,2017-08-30 16:53:34.206000
20.25684979,32.10196868,75,Honey Badger ,2017-08-30 16:53:34.221000
20.25703771,32.10371162,76,Honey Badger ,2017-08-30 16:53:34.237000
20.25639452,32.09848958,77,Honey Badger ,2017-08-30 16:53:34.253000
